Stage I,Stage II,Stage III,Stage IV
0.45930232558139533,0.3808139534883721,0.11046511627906977,0.04941860465116279
0.17162471395881007,0.14416475972540047,0.2219679633867277,0.4622425629290618
0.1990972918756269,0.279839518555667,0.3164493480441324,0.2046138415245737
0.44148936170212766,0.4136661211129296,0.10024549918166939,0.04459901800327332
0.5961538461538461,0.20512820512820512,0.11538461538461539,0.08333333333333333
0.16817496229260936,0.3137254901960784,0.30618401206636503,0.2119155354449472
0.6100558659217877,0.09944134078212291,0.1653631284916201,0.12513966480446928
0.08955223880597014,0.3582089552238806,0.208955223880597,0.34328358208955223
0.505720823798627,0.09382151029748284,0.2745995423340961,0.12585812356979406
0.199479618386817,0.08542931483087597,0.23243712055507373,0.4826539462272333
0.6784203102961918,0.2637517630465444,0.039492242595204514,0.018335684062059238
0.18895348837209303,0.10465116279069768,0.23837209302325582,0.4680232558139535
0.038535645472061654,0.2543352601156069,0.29865125240847784,0.40847784200385356
0.06629055007052186,0.22143864598025387,0.27926657263751764,0.4330042313117066
0.38306451612903225,0.07661290322580645,0.32661290322580644,0.21370967741935484
0.11851851851851852,0.12222222222222222,0.2074074074074074,0.5518518518518518
0.35852090032154343,0.16237942122186494,0.31430868167202575,0.1647909967845659
0.26047904191616766,0.2125748502994012,0.33682634730538924,0.19011976047904192
0.14210526315789473,0.13157894736842105,0.22631578947368422,0.5
0.4852752880921895,0.22023047375160051,0.2023047375160051,0.09218950064020487
0.7291242362525459,0.07739307535641547,0.09979633401221996,0.09368635437881874
0.45811727163940963,0.3611886717191863,0.1156761069006781,0.06501794974072597
0.17354630294328788,0.16080402010050251,0.20710696338837042,0.4585427135678392
0.20628165447383232,0.2751477208778841,0.3232273494653911,0.19534327518289252
0.4364396999422966,0.41860934795152915,0.10115406809001731,0.04379688401615695
0.5646672914714151,0.20056232427366447,0.1204311152764761,0.11433926897844424
0.1729362591431557,0.30250783699059564,0.32136886102403345,0.20318704284221525
0.579221201528331,0.09893504593122511,0.1937240874725632,0.12811966506788067
0.12471910112359551,0.3449438202247191,0.23820224719101124,0.29213483146067415
0.4873134328358209,0.0873134328358209,0.25541044776119404,0.16996268656716418
0.21032529123432428,0.08619262842956267,0.22996371506779553,0.47351836526831753
0.6641918330490619,0.2612621651449784,0.048861242098926456,0.02568475970703321
0.17706919945725916,0.1282225237449118,0.2091813658977838,0.48552691090004524
0.05130656469088592,0.23565965583173995,0.28648820905035055,0.42654557042702357
0.07625099285146943,0.2194485419266992,0.27016906842164984,0.43413139680018153
0.33439237490071483,0.07360338893301561,0.36086841408525283,0.23113582208101668
0.1025760037131585,0.1531677883499652,0.19447667672313762,0.5497795312137387
0.35878746167803294,0.1614840768316336,0.30604392166677097,0.17368453982356252
0.27496771416272064,0.21879035729659924,0.3270555316401205,0.17918639690055962
0.13795821836815136,0.17934568387859676,0.22979897516752068,0.45289712258573117
0.4732022363601311,0.21968382494698285,0.18787352997879314,0.11924040871409293
0.7287949921752739,0.07996870109546166,0.11940532081377152,0.07183098591549296
0.4371181799030967,0.35748894038340007,0.13229408047187696,0.0730987992416263
0.17220611197858576,0.17109078741913897,0.21414231541378542,0.44256078518848985
0.18890004634636182,0.26691642206086824,0.32670322879653946,0.21748030279623048
0.38907740115012324,0.4408329463871129,0.11715540950816158,0.05293424295460228
0.53309265944645,0.14620938628158844,0.1865222623345367,0.1341756919374248
0.16530784368850154,0.2937306719145347,0.31908912004498174,0.22187236435198202
0.5558276199804114,0.09079333986287953,0.20264446620959845,0.15073457394711068
0.11363636363636363,0.3315508021390374,0.22058823529411764,0.3342245989304813
0.48761544920235095,0.07829554995801848,0.2573467674223342,0.1767422334172964
0.2131740238275601,0.07530473107912679,0.21245093313132704,0.4990703119619861
0.6114063053489196,0.300035423308537,0.06057385759829968,0.02798441374424371
0.1774193548387097,0.1418242491657397,0.21913236929922136,0.46162402669632924
0.039164941338854384,0.22705314009661837,0.27070393374741203,0.46307798481711526
0.06318919588650725,0.20418783298228224,0.25969520505513566,0.47292776607607484
0.311854863934939,0.08226462308414138,0.33938066937754147,0.2664998436033782
0.10821234119782214,0.1560798548094374,0.17899274047186933,0.5567150635208712
0.34811529933481156,0.15262379896526237,0.29354520817935453,0.20571569352057156
0.24065622301714568,0.20809177254224745,0.34340693228074504,0.20784507215986184
0.12439560439560439,0.14593406593406594,0.23164835164835165,0.498021978021978
0.4624119440647671,0.2176427294711387,0.19493218378719376,0.12501314267690042
0.7086525883012521,0.07867688282564007,0.12595776490375632,0.08671276396935153
0.4404628592758492,0.3648749533407988,0.12224710712952594,0.07241508025382605
0.1646273637374861,0.1692992213570634,0.2189098998887653,0.4471635150166852
0.22239307120218407,0.2637524712084602,0.3216493551322685,0.19220510245708727
0.4245860230143138,0.4248105529048555,0.10067358967162504,0.049929834409205724
0.5245813074014046,0.15721231766612642,0.18260399783900594,0.13560237709346298
0.19782230762192332,0.2900997346509287,0.3153078964223625,0.19677006130478544
0.5614939973321477,0.08617163183637172,0.20302356602934638,0.1493108048021343
0.11597938144329897,0.32603092783505155,0.22551546391752578,0.3324742268041237
0.49480968858131485,0.07420222991157248,0.2639369473279508,0.16705113417916187
0.2202609363008442,0.07901637247377846,0.2156242005628038,0.48509849066257354
0.6243641466409402,0.29486055078056483,0.05665672689001929,0.024118575688475707
0.16451068616422948,0.14116985376827895,0.22525309336332958,0.46906636670416196
0.04766981419433445,0.23606457508376485,0.26454462381967714,0.45172098690222356
